robot_max_speed,robot_radius,success_rate,collision_rate,timeout_rate,average_path_length,average_time_diff,width,height,indoor_map_type,iterations,corridor_width,outdoor_map_type,num_static_obstacles,static_obstacle_size,other_map_type,mean_angle_info,entropy,map_size,max_entropy,num_obs_cv2,occupancy_ratio,distance_normalized,distance_avg,distance_variance,average_linear_velocity,average_obstalce_size,number_dynamic_obstacles,crowdnav,dwa,rlca,teb
1.1,0.625,0.2,0.8,0.0,101.4,3539030003536,45.0,45.0,1,30,2.5,0,0,0.0,0,360.0,0.0309,4050,2.3219,2,0.483,1.0,0.0094,0.0,0.67,0.47,8,1,0,0,0
1.1,0.625,0.27,0.73,0.0,74.26,1601093334932,35.0,35.0,1,30,2.0,0,0,0.0,0,90.0,0.0199,2450,2.3219,4,0.5069,1.0,0.0052,0.0,0.62,0.78,6,1,0,0,0
1.1,0.625,0.97,0.03,0.0,59.92,1311546667977,35.0,35.0,1,70,2.5,0,0,0.0,0,180.0,0.0244,2450,2.3219,2,0.3137,1.0,0.0003,0.0,0.61,0.52,3,1,0,0,0
0.22,0.113,0.63,0.37,0.0,85.33,1528076668192,25.0,25.0,1,30,2.5,0,0,0.0,0,180.0,0.0145,1250,2.3219,2,0.3012,0.0,0.0,1.0,0.53,0.6,6,1,0,0,0
1.1,0.625,0.47,0.53,0.0,72.66,1520533334852,35.0,35.0,1,45,2.5,0,0,0.0,0,360.0,0.0236,2450,2.3219,1,0.3637,0.0,0.0,1.0,0.61,0.44,6,1,0,0,0
0.22,0.113,0.53,0.47,0.0,39.6,781746667446,35.0,35.0,1,30,1.5,0,0,0.0,0,180.0,0.0169,2450,2.3219,7,0.6031,0.4,0.0124,0.0,0.63,0.62,6,1,0,0,0
0.22,0.113,0.37,0.63,0.0,87.48,1267236667933,45.0,45.0,1,45,1.5,0,0,0.0,0,180.0,0.0279,4050,2.3219,2,0.5815,1.0,0.0045,0.0,0.58,0.51,12,1,0,0,0
1.1,0.625,0.37,0.63,0.0,78.11,1839346668503,35.0,35.0,1,30,2.0,0,0,0.0,0,180.0,0.0182,2450,2.3219,4,0.5373,1.0,0.0069,0.0,0.63,0.6,9,1,0,0,0
2.0,0.267,0.73,0.27,0.0,144.14,2168850002167,45.0,45.0,1,45,2.5,0,0,0.0,0,310.3448,0.0321,4050,2.3219,8,0.4621,0.4,0.0125,0.0,0.77,0.59,4,1,0,0,0
0.22,0.113,0.53,0.43,0.03,178.71,3069116669733,45.0,45.0,1,70,1.5,0,0,0.0,0,180.0,0.0324,4050,2.3219,5,0.4901,0.6,0.0099,0.0,0.56,0.41,4,1,0,0,0
0.22,0.113,0.67,0.33,0.0,64.36,1227573334560,25.0,25.0,1,15,2.5,0,0,0.0,0,360.0,0.0118,1250,2.3219,2,0.4624,1.0,0.0155,0.0,0.68,0.78,4,1,0,0,0
1.1,0.625,0.34,0.66,0.0,72.59,2520896554243,35.0,35.0,1,70,1.5,0,0,0.0,0,288.0,0.025,2450,2.3219,10,0.3686,0.4,0.0162,0.0,0.4,0.32,3,1,0,0,0
1.1,0.625,0.34,0.66,0.0,75.69,3287310348112,35.0,35.0,1,45,1.5,0,0,0.0,0,270.0,0.0208,2450,2.3219,7,0.4927,0.7,0.0123,0.0,0.0,0.0,0,1,0,0,0
1.1,0.625,0.23,0.77,0.0,82.55,2278136668943,35.0,35.0,1,45,2.5,0,0,0.0,0,180.0,0.0242,2450,2.3219,5,0.3365,0.6,0.0064,0.0,0.63,0.65,9,1,0,0,0
2.0,0.267,0.73,0.27,0.0,51.78,1167850001166,25.0,25.0,1,45,2.0,0,0,0.0,0,180.0,0.0133,1250,2.3219,3,0.3564,1.0,0.006,0.0,0.61,0.43,4,1,0,0,0
2.0,0.267,0.4,0.6,0.0,75.1,1424186668089,25.0,25.0,1,15,2.5,0,0,0.0,0,180.0,0.0121,1250,2.3219,2,0.4392,0.0,0.0,1.0,0.66,0.52,6,1,0,0,0
0.22,0.113,0.76,0.24,0.0,93.33,1540786208435,25.0,25.0,1,15,2.0,0,0,0.0,0,360.0,0.0112,1250,2.3219,1,0.502,0.0,0.0,1.0,0.6,0.34,4,1,0,0,0
1.1,0.625,0.62,0.38,0.0,94.48,2092872415883,35.0,35.0,1,70,2.5,0,0,0.0,0,180.0,0.0282,2450,2.3219,6,0.2194,0.7,0.0069,0.0,0.52,0.64,3,1,0,0,0
0.22,0.113,0.9,0.1,0.0,69.82,1309853334641,25.0,25.0,1,45,2.5,0,0,0.0,0,180.0,0.0152,1250,2.3219,2,0.2248,0.0,0.0,1.0,0.57,0.58,4,1,0,0,0
0.22,0.113,0.43,0.57,0.0,76.53,1442416668106,25.0,25.0,1,15,1.5,0,0,0.0,0,180.0,0.0095,1250,2.3219,2,0.6116,0.0,0.0,1.0,0.69,0.7,4,1,0,0,0
0.22,0.113,0.53,0.47,0.0,128.74,2665390002662,45.0,45.0,1,70,2.0,0,0,0.0,0,315.0,0.037,4050,2.3219,11,0.3809,0.5,0.0125,0.0,0.52,0.51,8,1,0,0,0
1.1,0.625,0.28,0.69,0.03,72.65,2865724140795,45.0,45.0,1,70,1.5,0,0,0.0,0,231.4286,0.0338,4050,2.3219,20,0.4567,0.5,0.0095,0.0,0.59,0.66,8,1,0,0,0
0.22,0.113,0.73,0.27,0.0,95.5,1844530001843,35.0,35.0,1,30,2.5,0,0,0.0,0,90.0,0.0221,2450,2.3219,4,0.4192,0.5,0.006,0.0,0.65,0.73,3,1,0,0,0
0.22,0.113,0.43,0.57,0.0,65.49,1551410001549,25.0,25.0,1,45,1.5,0,0,0.0,0,240.0,0.0136,1250,2.3219,3,0.3612,1.0,0.0071,0.0,0.4,0.63,6,1,0,0,0
0.22,0.113,0.8,0.2,0.0,112.95,2532490002530,45.0,45.0,1,70,2.0,0,0,0.0,0,288.0,0.0342,4050,2.3219,10,0.4216,0.6,0.0103,0.0,0.0,0.0,0,1,0,0,0
0.22,0.113,0.86,0.14,0.0,92.51,2021882760640,35.0,35.0,1,70,2.0,0,0,0.0,0,240.0,0.0267,2450,2.3219,5,0.2773,0.4,0.0059,0.0,0.0,0.0,0,1,0,0,0
0.22,0.113,0.8,0.2,0.0,67.46,1538273334871,25.0,25.0,1,30,2.0,0,0,0.0,0,180.0,0.0143,1250,2.3219,3,0.3072,1.0,0.0097,0.0,0.0,0.0,0,1,0,0,0
0.22,0.113,0.3,0.7,0.0,175.86,3698493337030,45.0,45.0,1,30,1.5,0,0,0.0,0,180.0,0.0271,4050,2.3219,2,0.5938,0.0,0.0,1.0,0.67,0.26,4,1,0,0,0
0.22,0.113,0.4,0.6,0.0,78.72,1288840001287,35.0,35.0,1,30,1.5,0,0,0.0,0,360.0,0.0192,2450,2.3219,2,0.5308,1.0,0.0053,0.0,0.47,0.59,9,1,0,0,0
0.22,0.113,0.47,0.53,0.0,130.33,2231920002231,45.0,45.0,1,45,2.5,0,0,0.0,0,320.0,0.0335,4050,2.3219,6,0.4309,0.5,0.0097,0.0,0.58,0.67,12,1,0,0,0
0.22,0.113,0.27,0.73,0.0,116.3,2721130002719,45.0,45.0,1,70,1.5,0,0,0.0,0,196.3636,0.0335,4050,2.3219,11,0.4716,0.5,0.0111,0.0,0.59,0.54,12,1,0,0,0
0.22,0.113,0.2,0.8,0.0,123.9,3644453336975,45.0,45.0,1,30,2.0,0,0,0.0,0,360.0,0.0278,4050,2.3219,1,0.5664,0.0,0.0,1.0,0.41,0.53,4,1,0,0,0
0.22,0.113,0.57,0.43,0.0,139.98,2637400002635,45.0,45.0,1,70,2.5,0,0,0.0,0,120.0,0.0393,4050,2.3219,9,0.2867,0.7,0.0091,0.0,0.6,0.51,12,1,0,0,0
0.22,0.113,0.2,0.77,0.03,143.25,3977186670642,45.0,45.0,1,15,2.5,0,0,0.0,0,360.0,0.0273,4050,2.3219,1,0.5554,0.0,0.0,1.0,0.5,0.51,4,1,0,0,0
0.22,0.113,0.77,0.23,0.0,57.2,1139093334470,25.0,25.0,1,45,2.5,0,0,0.0,0,180.0,0.0158,1250,2.3219,2,0.2308,0.0,0.0,1.0,0.56,0.35,6,1,0,0,0
0.22,0.113,0.66,0.34,0.0,50.49,1254248277114,25.0,25.0,1,15,2.0,0,0,0.0,0,180.0,0.0115,1250,2.3219,3,0.524,1.0,0.0055,0.0,0.7,0.62,4,1,0,0,0
0.22,0.113,0.47,0.5,0.03,114.15,2850146669515,45.0,45.0,1,30,2.0,0,0,0.0,0,327.2727,0.0309,4050,2.3219,4,0.4951,0.2,0.0118,0.0,0.53,0.45,4,1,0,0,0
0.22,0.113,0.63,0.33,0.03,112.37,2708320002708,45.0,45.0,1,45,2.5,0,0,0.0,0,300.0,0.0348,4050,2.3219,10,0.4062,0.6,0.0285,0.0,0.0,0.0,0,1,0,0,0
0.22,0.113,0.5,0.47,0.03,93.99,2180466668845,35.0,35.0,1,30,2.0,0,0,0.0,0,180.0,0.0213,2450,2.3219,5,0.4402,0.6,0.0087,0.0,0.46,0.71,3,1,0,0,0
0.22,0.113,0.27,0.67,0.07,122.13,4104296670770,45.0,45.0,1,45,1.5,0,0,0.0,0,120.0,0.0285,4050,2.3219,3,0.5589,1.0,0.011,0.0,0.0,0.0,0,1,0,0,0
0.22,0.113,0.86,0.1,0.03,62.46,1299365518538,25.0,25.0,1,70,1.5,0,0,0.0,0,180.0,0.0141,1250,2.3219,3,0.3236,1.0,0.0076,0.0,0.0,0.0,0,1,0,0,0
0.22,0.113,0.7,0.27,0.03,130.02,2382453335713,35.0,35.0,1,30,2.5,0,0,0.0,0,360.0,0.0223,2450,2.3219,2,0.4143,1.0,0.0172,0.0,0.0,0.0,0,1,0,0,0
0.22,0.113,0.47,0.53,0.0,121.85,2402546669068,45.0,45.0,1,70,2.5,0,0,0.0,0,225.0,0.0383,4050,2.3219,9,0.3058,0.6,0.0101,0.0,0.62,0.5,12,1,0,0,0
0.22,0.113,0.37,0.6,0.03,94.79,2598066669262,35.0,35.0,1,30,2.5,0,0,0.0,0,120.0,0.0223,2450,2.3219,4,0.3843,0.8,0.0092,0.0,0.69,0.65,6,1,0,0,0
0.22,0.113,0.45,0.55,0.0,65.36,2236665519475,25.0,25.0,1,30,1.5,0,0,0.0,0,180.0,0.013,1250,2.3219,3,0.4264,1.0,0.0045,0.0,0.62,0.62,2,1,0,0,0
0.22,0.113,0.1,0.9,0.0,117.48,3043796669708,45.0,45.0,1,30,1.5,0,0,0.0,0,360.0,0.0248,4050,2.3219,1,0.6272,0.0,0.0,1.0,0.61,0.53,12,1,0,0,0
0.22,0.113,0.37,0.6,0.03,127.26,3054560003053,45.0,45.0,1,70,2.0,0,0,0.0,0,240.0,0.0321,4050,2.3219,5,0.4632,0.6,0.0071,0.0,0.85,0.65,4,1,0,0,0
0.22,0.113,0.73,0.2,0.07,91.42,2176170002174,35.0,35.0,1,70,1.5,0,0,0.0,0,169.4118,0.0248,2450,2.3219,15,0.3706,0.5,0.0104,0.0,0.0,0.0,0,1,0,0,0
0.22,0.113,0.17,0.83,0.0,153.46,2873423336204,45.0,45.0,1,45,2.5,0,0,0.0,0,180.0,0.0339,4050,2.3219,3,0.4138,0.7,0.0029,0.0,0.66,0.54,12,1,0,0,0
0.22,0.113,0.33,0.67,0.0,133.33,3501463336832,45.0,45.0,1,70,2.0,0,0,0.0,0,166.1538,0.037,4050,2.3219,12,0.3474,0.7,0.0099,0.0,0.57,0.68,8,1,0,0,0
0.22,0.113,0.9,0.1,0.0,64.83,1006344828590,25.0,25.0,1,70,2.5,0,0,0.0,0,180.0,0.0152,1250,2.3219,2,0.226,0.0,0.0,1.0,0.43,0.41,4,1,0,0,0
0.22,0.113,0.3,0.67,0.03,113.2,2801820002800,45.0,45.0,1,45,1.5,0,0,0.0,0,360.0,0.0307,4050,2.3219,4,0.5273,0.5,0.0228,0.0,0.59,0.85,4,1,0,0,0
0.22,0.113,0.47,0.47,0.07,117.94,3258966669925,45.0,45.0,1,70,2.0,0,0,0.0,0,216.0,0.0404,4050,2.3219,10,0.3078,0.7,0.0254,0.0,0.0,0.0,0,1,0,0,0
0.22,0.113,0.23,0.77,0.0,137.49,3117546669783,45.0,45.0,1,15,2.0,0,0,0.0,0,360.0,0.023,4050,2.3219,1,0.6502,0.0,0.0,1.0,0.59,0.46,12,1,0,0,0
0.22,0.113,0.87,0.13,0.0,67.33,1340896668006,25.0,25.0,1,70,2.5,0,0,0.0,0,180.0,0.0156,1250,2.3219,2,0.2172,0.0,0.0,1.0,0.44,0.4,2,1,0,0,0
0.22,0.113,0.37,0.63,0.0,137.29,2782876669448,45.0,45.0,1,45,2.0,0,0,0.0,0,321.7021,0.0361,4050,2.3219,11,0.3978,0.4,0.0128,0.0,0.55,0.6,8,1,0,0,0
0.22,0.113,0.57,0.43,0.0,68.12,1234460001232,25.0,25.0,1,30,2.5,0,0,0.0,0,90.0,0.0145,1250,2.3219,4,0.2752,1.0,0.0059,0.0,0.48,0.72,6,1,0,0,0
0.22,0.113,0.59,0.41,0.0,74.31,1451310346278,25.0,25.0,1,45,1.5,0,0,0.0,0,90.0,0.0149,1250,2.3219,6,0.3124,0.7,0.01,0.0,0.66,0.44,4,1,0,0,0
0.22,0.113,0.63,0.37,0.0,50.83,1089226667754,25.0,25.0,1,45,2.5,0,0,0.0,0,360.0,0.0132,1250,2.3219,1,0.3304,0.0,0.0,1.0,0.51,0.46,6,1,0,0,0
0.22,0.113,0.62,0.38,0.0,28.53,541241379850,25.0,25.0,1,45,1.5,0,0,0.0,0,360.0,0.0123,1250,2.3219,4,0.4592,0.5,0.0096,0.0,0.66,0.54,6,1,0,0,0
0.22,0.113,0.21,0.79,0.0,162.65,3468537934502,35.0,35.0,1,15,1.5,0,0,0.0,0,360.0,0.013,2450,2.3219,1,0.7114,0.0,0.0,1.0,0.43,0.57,3,1,0,0,0
0.22,0.113,0.2,0.8,0.0,103.01,2183810002182,45.0,45.0,1,45,1.5,0,0,0.0,0,180.0,0.0262,4050,2.3219,4,0.6042,1.0,0.0046,0.0,0.62,0.59,12,1,0,0,0
0.22,0.113,0.9,0.1,0.0,58.9,1065972414856,25.0,25.0,1,45,2.5,0,0,0.0,0,180.0,0.0136,1250,2.3219,2,0.324,0.0,0.0,1.0,0.37,0.63,4,1,0,0,0
0.22,0.113,0.27,0.73,0.0,121.19,3266110003264,45.0,45.0,1,30,2.0,0,0,0.0,0,216.0,0.0267,4050,2.3219,4,0.577,0.5,0.007,0.0,0.58,0.55,4,1,0,0,0
0.22,0.113,0.17,0.8,0.03,179.54,4644160004642,45.0,45.0,1,30,1.5,0,0,0.0,0,360.0,0.0273,4050,2.3219,2,0.5826,1.0,0.0076,0.0,0.39,0.52,4,1,0,0,0
0.22,0.113,0.23,0.77,0.0,130.0,4161826670826,45.0,45.0,1,45,1.5,0,0,0.0,0,180.0,0.0288,4050,2.3219,3,0.5442,0.7,0.0123,0.0,0.33,0.35,4,1,0,0,0
0.22,0.113,0.3,0.7,0.0,107.67,2483053335813,35.0,35.0,1,30,2.0,0,0,0.0,0,120.0,0.021,2450,2.3219,8,0.4659,0.6,0.0087,0.0,0.36,0.58,9,1,0,0,0
0.22,0.113,0.47,0.53,0.0,116.07,2668516669333,45.0,45.0,1,45,2.0,0,0,0.0,0,317.6471,0.032,4050,2.3219,4,0.4699,0.8,0.0097,0.0,0.59,0.59,4,1,0,0,0
0.22,0.113,0.52,0.48,0.0,49.93,1229448277089,25.0,25.0,1,30,1.5,0,0,0.0,0,120.0,0.0128,1250,2.3219,4,0.4024,0.5,0.0075,0.0,0.54,0.66,4,1,0,0,0
0.22,0.113,0.43,0.53,0.03,112.36,3372373336706,45.0,45.0,1,70,2.0,0,0,0.0,0,270.0,0.0382,4050,2.3219,17,0.3262,0.6,0.0098,0.0,0.0,0.0,0,1,0,0,0
0.22,0.113,0.4,0.6,0.0,90.37,2082276668748,35.0,35.0,1,30,1.5,0,0,0.0,0,360.0,0.0202,2450,2.3219,3,0.5341,0.7,0.0185,0.0,0.52,0.62,3,1,0,0,0
0.22,0.113,1.0,0.0,0.0,96.91,1743773335075,35.0,35.0,1,70,2.5,0,0,0.0,0,180.0,0.0266,2450,2.3219,2,0.2257,1.0,0.0003,0.0,0.0,0.0,0,1,0,0,0
0.22,0.113,0.7,0.3,0.0,61.95,980773334315,25.0,25.0,1,45,2.0,0,0,0.0,0,360.0,0.0147,1250,2.3219,1,0.2508,0.0,0.0,1.0,0.48,0.49,4,1,0,0,0
0.22,0.113,0.39,0.5,0.11,52.69,3277828574706,35.0,35.0,1,15,1.5,0,0,0.0,0,240.0,0.0155,2450,2.3219,4,0.6453,0.8,0.0066,0.0,0.58,0.53,3,1,0,0,0
0.22,0.113,0.7,0.3,0.0,74.81,1824460001822,35.0,35.0,1,30,2.5,0,0,0.0,0,180.0,0.0219,2450,2.3219,3,0.4131,1.0,0.0086,0.0,0.88,0.85,3,1,0,0,0
0.22,0.113,0.7,0.3,0.0,126.22,3295853336627,45.0,45.0,1,70,2.0,0,0,0.0,0,300.0,0.0341,4050,2.3219,10,0.4109,0.4,0.0112,0.0,0.0,0.0,0,1,0,0,0
0.22,0.113,0.53,0.47,0.0,100.38,2025840002024,35.0,35.0,1,45,2.5,0,0,0.0,0,180.0,0.0227,2450,2.3219,4,0.379,1.0,0.0059,0.0,0.5,0.55,6,1,0,0,0
0.22,0.113,0.4,0.6,0.0,159.01,3450266670116,45.0,45.0,1,70,2.0,0,0,0.0,0,288.0,0.0373,4050,2.3219,11,0.3723,0.5,0.0115,0.0,0.46,0.54,12,1,0,0,0
0.22,0.113,0.77,0.2,0.03,94.08,1972293335305,35.0,35.0,1,70,2.0,0,0,0.0,0,180.0,0.0269,2450,2.3219,5,0.2669,0.6,0.0071,0.0,0.55,0.67,3,1,0,0,0
0.22,0.113,0.63,0.37,0.0,97.75,1741720001739,35.0,35.0,1,15,2.5,0,0,0.0,0,90.0,0.0191,2450,2.3219,4,0.5373,1.0,0.0064,0.0,0.61,0.55,3,1,0,0,0
0.22,0.113,0.52,0.48,0.0,67.07,1864686208759,25.0,25.0,1,15,2.0,0,0,0.0,0,90.0,0.0099,1250,2.3219,4,0.5464,1.0,0.0053,0.0,0.61,0.81,2,1,0,0,0
0.22,0.113,0.63,0.37,0.0,54.9,1222026667888,25.0,25.0,1,30,2.5,0,0,0.0,0,180.0,0.0126,1250,2.3219,2,0.3936,0.0,0.0,1.0,0.72,0.6,6,1,0,0,0
0.22,0.113,0.45,0.55,0.0,91.67,1877737932910,35.0,35.0,1,15,2.0,0,0,0.0,0,180.0,0.017,2450,2.3219,2,0.589,0.0,0.0,1.0,0.63,0.53,3,1,0,0,0
0.22,0.113,0.5,0.47,0.03,73.84,1909186668574,25.0,25.0,1,45,1.5,0,0,0.0,0,102.8571,0.0131,1250,2.3219,7,0.4052,0.4,0.0092,0.0,0.55,0.93,2,1,0,0,0
0.22,0.113,0.73,0.27,0.0,58.35,1508060001505,25.0,25.0,1,45,2.0,0,0,0.0,0,180.0,0.014,1250,2.3219,2,0.318,0.0,0.0,1.0,0.73,0.48,4,1,0,0,0
0.22,0.113,0.27,0.73,0.0,168.12,3926386670590,45.0,45.0,1,45,1.5,0,0,0.0,0,166.1538,0.0305,4050,2.3219,14,0.5401,0.6,0.0137,0.0,0.39,0.43,12,1,0,0,0
0.22,0.113,0.93,0.03,0.03,44.48,1142910001142,25.0,25.0,1,30,2.0,0,0,0.0,0,360.0,0.0134,1250,2.3219,1,0.3452,0.0,0.0,1.0,0.0,0.0,0,1,0,0,0
0.22,0.113,0.63,0.33,0.03,58.96,1652426668316,25.0,25.0,1,30,1.5,0,0,0.0,0,90.0,0.0132,1250,2.3219,4,0.4168,0.5,0.005,0.0,0.59,0.55,2,1,0,0,0
0.22,0.113,0.63,0.37,0.0,137.43,2392520002391,35.0,35.0,1,70,2.5,0,0,0.0,0,180.0,0.0271,2450,2.3219,5,0.2449,0.8,0.0075,0.0,0.6,0.38,9,1,0,0,0
0.22,0.113,1.0,0.0,0.0,54.98,1013773334345,25.0,25.0,1,45,2.5,0,0,0.0,0,180.0,0.0152,1250,2.3219,2,0.2248,0.0,0.0,1.0,0.0,0.0,0,1,0,0,0
0.22,0.113,0.63,0.37,0.0,119.23,2801856669467,45.0,45.0,1,30,2.0,0,0,0.0,0,180.0,0.027,4050,2.3219,2,0.5746,0.0,0.0,1.0,0.0,0.0,0,1,0,0,0
0.22,0.113,0.43,0.43,0.13,62.84,3304320003304,45.0,45.0,1,30,1.5,0,0,0.0,0,337.5,0.0237,4050,2.3219,5,0.648,0.6,0.0144,0.0,0.0,0.0,0,1,0,0,0
0.22,0.113,0.73,0.27,0.0,104.26,1814773335146,35.0,35.0,1,70,2.0,0,0,0.0,0,288.0,0.0255,2450,2.3219,6,0.3073,0.3,0.0121,0.0,0.67,0.48,6,1,0,0,0
0.22,0.113,0.5,0.5,0.0,147.54,2593163335924,45.0,45.0,1,45,2.0,0,0,0.0,0,327.2727,0.032,4050,2.3219,9,0.4647,0.6,0.0094,0.0,0.84,0.54,8,1,0,0,0
0.22,0.113,0.28,0.72,0.0,71.57,2066675864133,45.0,45.0,1,15,1.5,0,0,0.0,0,180.0,0.0151,4050,2.3219,2,0.7942,0.0,0.0,1.0,0.61,0.42,4,1,0,0,0
0.22,0.113,0.47,0.5,0.03,175.46,3864476670529,45.0,45.0,1,30,2.0,0,0,0.0,0,360.0,0.0257,4050,2.3219,2,0.6054,1.0,0.0026,0.0,0.0,0.0,0,1,0,0,0
0.22,0.113,0.87,0.1,0.03,63.76,1237843334569,25.0,25.0,1,15,2.5,0,0,0.0,0,360.0,0.0109,1250,2.3219,2,0.5028,1.0,0.0041,0.0,0.57,0.27,2,1,0,0,0
0.22,0.113,0.23,0.77,0.0,123.04,2878160002876,45.0,45.0,1,15,2.0,0,0,0.0,0,180.0,0.0208,4050,2.3219,2,0.6758,0.0,0.0,1.0,0.53,0.56,12,1,0,0,0
0.22,0.113,0.53,0.4,0.07,89.03,2885330002885,35.0,35.0,1,30,2.5,0,0,0.0,0,360.0,0.0236,2450,2.3219,3,0.3745,0.3,0.0097,0.0,0.0,0.0,0,1,0,0,0
0.22,0.113,0.63,0.37,0.0,114.71,2092946668759,35.0,35.0,1,70,2.5,0,0,0.0,0,90.0,0.0289,2450,2.3219,6,0.1678,0.7,0.0065,0.0,0.57,0.5,6,1,0,0,0
0.22,0.113,0.52,0.48,0.0,47.68,1442579311785,25.0,25.0,1,15,1.5,0,0,0.0,0,90.0,0.0097,1250,2.3219,4,0.584,0.5,0.0059,0.0,0.61,0.67,6,1,0,0,0
0.22,0.113,0.93,0.07,0.0,31.73,526196429095,25.0,25.0,1,15,1.5,0,0,0.0,0,180.0,0.01,1250,2.3219,2,0.5576,0.0,0.0,1.0,0.67,0.5,2,1,0,0,0
0.22,0.113,1.0,0.0,0.0,56.31,1071040001068,25.0,25.0,1,70,2.5,0,0,0.0,0,180.0,0.0153,1250,2.3219,2,0.234,0.0,0.0,1.0,0.0,0.0,0,1,0,0,0
0.22,0.113,0.67,0.33,0.0,125.47,2181080002178,35.0,35.0,1,45,2.5,0,0,0.0,0,180.0,0.0261,2450,2.3219,3,0.2706,0.7,0.0073,0.0,0.57,0.53,6,1,0,0,0
0.22,0.113,0.9,0.1,0.0,107.85,1744023335077,35.0,35.0,1,70,2.5,0,0,0.0,0,180.0,0.027,2450,2.3219,5,0.2496,0.8,0.0071,0.0,0.0,0.0,0,1,0,0,0
0.22,0.113,0.57,0.43,0.0,87.66,1505933334838,35.0,35.0,1,15,2.5,0,0,0.0,0,90.0,0.0188,2450,2.3219,4,0.5151,1.0,0.0029,0.0,0.58,0.55,6,1,0,0,0
