number_dynamic_obstacles,average_obstalce_size,map_size
8,0.47,4050
6,0.78,2450
3,0.52,2450
6,0.6,1250
6,0.44,2450
6,0.62,2450
12,0.51,4050
9,0.6,2450
4,0.59,4050
4,0.41,4050
4,0.78,1250
3,0.32,2450
0,0.0,2450
9,0.65,2450
4,0.43,1250
6,0.52,1250
4,0.34,1250
3,0.64,2450
4,0.58,1250
4,0.7,1250
8,0.51,4050
8,0.66,4050
3,0.73,2450
6,0.63,1250
0,0.0,4050
0,0.0,2450
0,0.0,1250
4,0.26,4050
9,0.59,2450
12,0.67,4050
12,0.54,4050
4,0.53,4050
12,0.51,4050
4,0.51,4050
6,0.35,1250
4,0.62,1250
4,0.45,4050
0,0.0,4050
3,0.71,2450
0,0.0,4050
0,0.0,1250
0,0.0,2450
12,0.5,4050
6,0.65,2450
2,0.62,1250
12,0.53,4050
4,0.65,4050
0,0.0,2450
12,0.54,4050
8,0.68,4050
4,0.41,1250
4,0.85,4050
0,0.0,4050
12,0.46,4050
2,0.4,1250
8,0.6,4050
6,0.72,1250
4,0.44,1250
6,0.46,1250
6,0.54,1250
3,0.57,2450
12,0.59,4050
4,0.63,1250
4,0.55,4050
4,0.52,4050
4,0.35,4050
9,0.58,2450
4,0.59,4050
4,0.66,1250
0,0.0,4050
3,0.62,2450
0,0.0,2450
4,0.49,1250
3,0.53,2450
3,0.85,2450
0,0.0,4050
6,0.55,2450
12,0.54,4050
3,0.67,2450
3,0.55,2450
2,0.81,1250
6,0.6,1250
3,0.53,2450
2,0.93,1250
4,0.48,1250
12,0.43,4050
0,0.0,1250
2,0.55,1250
9,0.38,2450
0,0.0,1250
0,0.0,4050
0,0.0,4050
6,0.48,2450
8,0.54,4050
4,0.42,4050
0,0.0,4050
2,0.27,1250
12,0.56,4050
0,0.0,2450
6,0.5,2450
6,0.67,1250
2,0.5,1250
0,0.0,1250
6,0.53,2450
0,0.0,2450
6,0.55,2450
0,0.0,1250
9,0.52,2450
2,0.41,1250
6,0.53,1250
0,0.0,1250
0,0.0,4050
8,0.68,4050
8,0.61,4050
2,0.81,1250
4,0.83,1250
12,0.56,4050
6,0.74,2450
2,0.54,1250
2,0.16,1250
3,0.73,2450
12,0.57,4050
3,0.65,2450
9,0.63,2450
4,0.37,1250
4,0.6,4050
3,0.64,2450
6,0.74,2450
2,0.69,1250
4,0.57,1250
2,0.75,1250
9,0.48,2450
12,0.62,4050
9,0.69,2450
6,0.53,2450
6,0.49,2450
4,0.69,1250
2,0.7,1250
9,0.57,2450
0,0.0,2450
12,0.42,4050
12,0.59,4050
0,0.0,4050
6,0.69,2450
2,0.77,1250
4,0.71,4050
0,0.0,4050
0,0.0,2450
3,0.55,2450
3,0.71,2450
9,0.52,2450
8,0.52,4050
9,0.53,2450
8,0.6,4050
2,0.49,1250
6,0.63,2450
0,0.0,1250
6,0.49,2450
4,0.61,1250
0,0.0,1250
2,0.57,1250
4,0.51,4050
8,0.51,4050
6,0.38,2450
0,0.0,4050
8,0.67,4050
8,0.54,4050
12,0.58,4050
9,0.54,2450
4,0.59,1250
9,0.6,2450
9,0.57,2450
12,0.55,4050
3,0.53,2450
6,0.6,1250
0,0.0,2450
0,0.0,1250
3,0.4,2450
0,0.0,1250
6,0.46,1250
4,0.63,1250
3,0.5,2450
4,0.4,4050
6,0.6,1250
4,0.6,4050
4,0.51,1250
8,0.5,4050
9,0.55,2450
9,0.51,2450
6,0.34,2450
9,0.74,2450
9,0.42,2450
0,0.0,4050
9,0.71,2450
9,0.56,2450
2,0.85,1250
9,0.6,2450
6,0.53,2450
8,0.47,4050
3,0.46,2450
0,0.0,4050
0,0.0,2450
0,0.0,4050
9,0.54,2450
4,0.61,4050
6,0.57,2450
6,0.44,2450
9,0.49,2450
12,0.55,4050
0,0.0,4050
0,0.0,4050
0,0.0,4050
0,0.0,1250
6,0.54,2450
12,0.69,4050
0,0.0,2450
12,0.65,4050
0,0.0,4050
9,0.4,2450
8,0.65,4050
4,0.6,1250
2,0.27,1250
9,0.61,2450
4,0.52,1250
9,0.42,2450
2,0.69,1250
4,0.7,1250
12,0.5,4050
9,0.46,2450
2,0.55,1250
8,0.61,4050
8,0.44,4050
2,0.8,1250
3,0.4,2450
3,0.53,2450
3,0.45,2450
6,0.39,2450
0,0.0,1250
0,0.0,4050
0,0.0,1250
4,0.7,1250
0,0.0,1250
0,0.0,2450
2,0.84,1250
8,0.51,4050
0,0.0,4050
4,0.57,4050
8,0.49,4050
0,0.0,1250
0,0.0,2450
6,0.51,1250
4,0.52,1250
6,0.62,1250
2,0.71,1250
12,0.6,4050
0,0.0,4050
4,0.58,1250
9,0.58,2450
2,0.62,1250
12,0.42,4050
8,0.46,4050
8,0.5,4050
4,0.54,4050
4,0.61,4050
3,0.78,2450
4,0.5,4050
0,0.0,2450
6,0.48,2450
6,0.47,2450
8,0.43,4050
4,0.64,4050
4,0.61,1250
6,0.63,1250
6,0.77,2450
12,0.54,4050
4,0.48,1250
2,0.3,1250
8,0.44,4050
6,0.59,2450
0,0.0,1250
0,0.0,2450
8,0.54,4050
4,0.56,1250
4,0.19,1250
12,0.5,4050
12,0.52,4050
6,0.58,1250
8,0.63,4050
4,0.3,1250
0,0.0,4050
3,0.65,2450
8,0.53,4050
0,0.0,1250
0,0.0,2450
0,0.0,4050
12,0.66,4050
12,0.46,4050
0,0.0,3150
0,0.0,3150
9,0.52,3150
6,0.38,2450
6,0.6,2250
3,0.69,2250
8,0.57,4050
4,0.53,4050
9,0.63,2250
9,0.53,2250
9,0.48,3150
6,0.75,3150
0,0.0,2450
0,0.0,1750
2,0.37,1250
3,0.77,3150
6,0.51,1250
6,0.58,2450
8,0.61,4050
8,0.55,4050
0,0.0,1750
2,0.23,1750
3,0.6,2250
4,0.63,1750
0,0.0,1250
0,0.0,2250
2,0.65,1750
9,0.74,2450
0,0.0,1750
0,0.0,1750
2,0.52,1750
2,0.54,1750
6,0.57,1750
6,0.59,1250
0,0.0,4050
6,0.56,1750
6,0.63,3150
0,0.0,1250
9,0.45,2250
0,0.0,3150
0,0.0,3150
3,0.6,3150
6,0.48,2250
9,0.59,2250
3,0.52,3150
3,0.25,2250
3,0.59,2250
3,0.56,2250
6,0.64,2250
6,0.71,2450
0,0.0,1750
12,0.5,4050
9,0.66,3150
6,0.57,1750
0,0.0,2450
4,0.69,4050
6,0.56,2250
0,0.0,3150
6,0.49,1750
0,0.0,3150
3,0.64,3150
4,0.61,1250
6,0.51,2250
4,0.59,1750
6,0.56,1250
3,0.51,3150
0,0.0,2250
0,0.0,1750
0,0.0,1750
9,0.45,2250
4,0.47,4050
9,0.7,2250
0,0.0,3150
2,0.74,1250
4,0.69,4050
4,0.68,1750
9,0.6,3150
12,0.55,4050
3,0.84,3150
0,0.0,3150
6,0.72,1750
4,0.52,1750
6,0.51,3150
6,0.46,1250
9,0.52,2250
0,0.0,1750
8,0.63,4050
6,0.68,2450
9,0.58,3150
4,0.48,1250
0,0.0,2250
6,0.6,2450
6,0.71,1750
2,0.6,1250
0,0.0,1250
9,0.64,3150
8,0.64,4050
9,0.6,3150
12,0.43,4050
6,0.5,2250
0,0.0,1750
0,0.0,4050
6,0.56,3150
9,0.56,2250
0,0.0,4050
4,0.59,1750
8,0.56,4050
6,0.66,2250
0,0.0,2250
0,0.0,3150
4,0.61,1750
3,0.69,3150
0,0.0,1250
3,0.4,3150
3,0.19,3150
2,0.59,1750
0,0.0,2450
3,0.62,2250
12,0.61,4050
2,0.23,1750
9,0.6,2250
6,0.52,1250
9,0.51,3150
6,0.42,1250
0,0.0,3150
0,0.0,2450
6,0.54,2450
6,0.53,1750
2,0.43,1750
9,0.6,2250
0,0.0,4050
6,0.57,1750
0,0.0,2250
6,0.5,3150
3,0.53,2250
6,0.52,1750
0,0.0,2450
3,0.8,2250
9,0.73,3150
6,0.66,3150
