number_dynamic_obstacles,map_size,corridor_width,num_static_obstacles,height,robot_radius,distance_variance,num_obs_cv2,iterations,max_entropy
12,4050,2.5,0,45.0,0.113,0.0,10,45,2.3219
0,4050,2.0,0,45.0,0.113,0.0,8,45,2.3219
9,2450,1.5,0,35.0,0.113,0.0,2,30,2.3219
8,4050,2.5,0,45.0,0.113,0.0,10,70,2.3219
4,1250,1.5,0,25.0,0.113,0.0,8,30,2.3219
2,1250,2.5,0,25.0,0.113,1.0,1,15,2.3219
9,2450,2.0,0,35.0,0.113,1.0,2,30,2.3219
4,1250,2.5,0,25.0,0.113,1.0,2,70,2.3219
9,2450,2.5,0,35.0,0.113,0.0,4,30,2.3219
2,1250,1.5,0,25.0,0.113,1.0,2,15,2.3219
4,1250,1.5,0,25.0,0.113,0.0,4,70,2.3219
12,4050,2.0,0,45.0,0.113,0.0,7,30,2.3219
9,2450,2.5,0,35.0,0.113,0.0,3,70,2.3219
2,1250,2.5,0,25.0,0.113,1.0,2,45,2.3219
8,4050,1.5,0,45.0,0.113,0.0,5,30,2.3219
8,4050,2.5,0,45.0,0.113,0.0,4,45,2.3219
2,1250,2.0,0,25.0,0.113,0.0,4,30,2.3219
3,2450,2.5,0,35.0,0.113,1.0,1,15,2.3219
3,2450,1.5,0,35.0,0.113,0.0,9,45,2.3219
3,2450,1.5,0,35.0,0.113,0.0,5,30,2.3219
6,2450,1.5,0,35.0,0.113,0.0,7,70,2.3219
0,1250,2.0,0,25.0,0.113,1.0,2,30,2.3219
0,4050,2.0,0,45.0,0.113,0.0,4,45,2.3219
0,1250,2.0,0,25.0,0.113,1.0,2,15,2.3219
4,1250,1.5,0,25.0,0.113,0.0,4,45,2.3219
0,1250,2.5,0,25.0,0.113,1.0,2,30,2.3219
0,2450,2.0,0,35.0,0.113,0.0,9,70,2.3219
2,1250,2.0,0,25.0,0.113,1.0,2,30,2.3219
8,4050,1.5,0,45.0,0.113,1.0,2,15,2.3219
0,4050,2.5,0,45.0,0.113,0.0,2,15,2.3219
4,4050,2.0,0,45.0,0.113,0.0,11,70,2.3219
8,4050,2.0,0,45.0,0.113,0.0,3,70,2.3219
0,1250,1.5,0,25.0,0.113,0.0,3,15,2.3219
0,2450,1.5,0,35.0,0.113,0.0,9,45,2.3219
6,1250,2.5,0,25.0,0.113,1.0,1,45,2.3219
4,1250,1.5,0,25.0,0.113,1.0,2,45,2.3219
6,1250,2.5,0,25.0,0.113,0.0,2,15,2.3219
2,1250,2.5,0,25.0,0.113,1.0,2,70,2.3219
12,4050,2.5,0,45.0,0.113,0.0,5,30,2.3219
0,4050,2.0,0,45.0,0.113,0.0,6,70,2.3219
4,1250,2.0,0,25.0,0.113,0.0,2,15,2.3219
9,2450,2.0,0,35.0,0.113,0.0,2,45,2.3219
2,1250,2.5,0,25.0,0.113,1.0,2,30,2.3219
12,4050,1.5,0,45.0,0.113,0.0,2,15,2.3219
8,4050,2.0,0,45.0,0.113,0.0,10,30,2.3219
8,4050,1.5,0,45.0,0.113,0.0,7,70,2.3219
4,4050,1.5,0,45.0,0.113,0.0,4,15,2.3219
4,4050,2.5,0,45.0,0.113,0.0,3,15,2.3219
3,2450,2.0,0,35.0,0.113,0.0,3,30,2.3219
4,4050,2.5,0,45.0,0.113,0.0,7,45,2.3219
0,2450,2.5,0,35.0,0.113,0.0,3,45,2.3219
6,2450,2.5,0,35.0,0.113,0.0,4,15,2.3219
6,2450,2.5,0,35.0,0.113,0.0,3,70,2.3219
8,4050,1.5,0,45.0,0.113,0.0,3,45,2.3219
4,4050,2.5,0,45.0,0.113,0.0,3,30,2.3219
4,1250,2.5,0,25.0,0.113,1.0,2,70,2.3219
6,1250,2.5,0,25.0,0.113,1.0,2,70,2.3219
6,2450,2.5,0,35.0,0.113,0.0001,4,30,2.3219
12,4050,1.5,0,45.0,0.113,0.0,10,70,2.3219
4,1250,1.5,0,25.0,0.113,0.0,4,30,2.3219
2,1250,2.5,0,25.0,0.113,0.0,2,15,2.3219
8,4050,1.5,0,45.0,0.113,0.0,2,15,2.3219
6,2450,2.0,0,35.0,0.113,0.0,4,70,2.3219
0,1250,2.5,0,25.0,0.113,1.0,2,70,2.3219
0,2450,2.5,0,35.0,0.113,0.0,2,70,2.3219
8,4050,2.5,0,45.0,0.113,0.0,9,45,2.3219
4,1250,2.5,0,25.0,0.113,1.0,2,70,2.3219
4,1250,2.0,0,25.0,0.113,0.0,3,30,2.3219
12,4050,2.5,0,45.0,0.113,0.0,4,30,2.3219
12,4050,1.5,0,45.0,0.113,0.0,10,70,2.3219
6,1250,1.5,0,25.0,0.113,0.0,3,45,2.3219
8,4050,1.5,0,45.0,0.113,1.0,2,15,2.3219
4,1250,2.0,0,25.0,0.113,0.0,3,15,2.3219
0,4050,2.5,0,45.0,0.113,0.0,7,70,2.3219
3,2450,1.5,0,35.0,0.113,0.0,13,70,2.3219
8,4050,2.0,0,45.0,0.113,1.0,1,15,2.3219
0,1250,2.0,0,25.0,0.113,0.0,3,15,2.3219
0,2450,1.5,0,35.0,0.113,0.0,8,45,2.3219
0,4050,2.0,0,45.0,0.113,0.0,3,70,2.3219
12,4050,2.0,0,45.0,0.625,1.0,2,30,2.3219
12,4050,0.0,30,45.0,0.625,0.0,7,0,2.3219
0,3150,2.0,0,35.0,0.625,0.0,7,70,2.3219
0,3150,0.0,10,35.0,0.113,0.0,16,0,2.3219
9,3150,1.5,0,35.0,0.267,1.0,2,30,2.3219
6,2450,1.5,0,35.0,0.267,0.0,8,30,2.3219
6,2250,2.5,0,45.0,0.113,0.0,2,70,2.3219
3,2250,2.0,0,45.0,0.113,0.0,2,30,2.3219
8,4050,0.0,10,45.0,0.625,0.0,10,0,2.3219
4,4050,1.5,0,45.0,0.113,0.0,2,15,2.3219
9,2250,0.0,40,45.0,0.113,0.0,10,0,2.3219
9,2250,2.0,0,25.0,0.267,0.0,4,15,2.3219
9,3150,2.5,0,45.0,0.267,0.0,4,70,2.3219
6,3150,0.0,20,45.0,0.267,0.0,20,0,2.3219
0,2450,0.0,30,35.0,0.113,0.0,25,0,2.3219
0,1750,0.0,30,35.0,0.625,0.0,25,0,2.3219
2,1250,0.0,10,25.0,0.267,0.0,14,0,2.3219
3,3150,2.0,0,35.0,0.113,1.0,2,15,2.3219
6,1250,0.0,10,25.0,0.267,0.0,5,0,2.3219
6,2450,0.0,10,35.0,0.267,0.0,14,0,2.3219
8,4050,0.0,20,45.0,0.267,0.0,10,0,2.3219
8,4050,0.0,40,45.0,0.267,0.0,22,0,2.3219
0,1750,0.0,20,25.0,0.267,0.0,16,0,2.3219
2,1750,0.0,40,35.0,0.625,0.0,21,0,2.3219
3,2250,2.0,0,45.0,0.113,1.0,1,15,2.3219
4,1750,0.0,0,35.0,0.625,0.0,2,0,2.3219
0,1250,2.0,0,25.0,0.625,0.0,6,45,2.3219
0,2250,2.5,0,25.0,0.625,1.0,2,15,2.3219
2,1750,1.5,0,25.0,0.625,0.0,5,45,2.3219
9,2450,2.5,0,35.0,0.267,0.0,5,30,2.3219
0,1750,2.0,0,25.0,0.625,0.0,4,15,2.3219
0,1750,2.0,0,35.0,0.113,0.0,6,70,2.3219
2,1750,0.0,0,35.0,0.267,0.0,2,0,2.3219
2,1750,2.5,0,25.0,0.113,1.0,2,45,2.3219
6,1750,2.0,0,25.0,0.625,0.0,2,15,2.3219
6,1250,0.0,40,25.0,0.267,0.0,12,0,2.3219
0,4050,0.0,10,45.0,0.113,0.0,16,0,2.3219
6,1750,2.5,0,35.0,0.267,0.0,3,70,2.3219
6,3150,2.5,0,45.0,0.625,1.0,1,15,2.3219
0,1250,2.5,0,25.0,0.113,0.0,4,15,2.3219
9,2250,1.5,0,45.0,0.113,0.0,5,45,2.3219
0,3150,0.0,40,45.0,0.113,0.0,47,0,2.3219
0,3150,0.0,40,45.0,0.625,0.0,17,0,2.3219
3,3150,0.0,30,35.0,0.625,0.0,7,0,2.3219
6,2250,1.5,0,45.0,0.267,0.0,5,15,2.3219
9,2250,2.0,0,45.0,0.625,0.0,2,30,2.3219
3,3150,1.5,0,35.0,0.267,1.0,1,15,2.3219
3,2250,2.0,0,45.0,0.113,0.0,3,30,2.3219
3,2250,0.0,0,45.0,0.267,1.0,2,0,2.3219
3,2250,0.0,10,45.0,0.113,0.0,12,0,2.3219
6,2250,0.0,40,45.0,0.625,0.0001,9,0,2.3219
6,2450,2.5,0,35.0,0.625,0.0,6,30,2.3219
0,1750,0.0,0,25.0,0.113,0.0,2,0,2.3219
12,4050,0.0,0,45.0,0.267,1.0,2,0,2.3219
9,3150,0.0,20,35.0,0.113,0.0,14,0,2.3219
6,1750,2.0,0,25.0,0.113,0.0,4,30,2.3219
0,2450,0.0,0,35.0,0.113,1.0,2,0,2.3219
4,4050,2.0,0,45.0,0.113,0.0,11,70,2.3219
6,2250,2.0,0,45.0,0.113,1.0,2,45,2.3219
0,3150,2.5,0,45.0,0.625,0.0,6,30,2.3219
6,1750,2.0,0,35.0,0.113,0.0,6,15,2.3219
0,3150,0.0,20,35.0,0.625,0.0,15,0,2.3219
3,3150,2.0,0,35.0,0.625,0.0,4,45,2.3219
4,1250,2.5,0,25.0,0.625,0.0,3,45,2.3219
6,2250,1.5,0,25.0,0.113,0.0,6,70,2.3219
4,1750,1.5,0,25.0,0.267,0.0,7,70,2.3219
6,1250,2.5,0,25.0,0.113,1.0,1,30,2.3219
3,3150,1.5,0,35.0,0.113,0.0,6,45,2.3219
0,2250,2.5,0,45.0,0.267,0.0,3,45,2.3219
0,1750,2.5,0,25.0,0.113,0.0,4,30,2.3219
0,1750,1.5,0,35.0,0.625,0.0,10,70,2.3219
9,2250,0.0,30,45.0,0.625,0.0,14,0,2.3219
4,4050,0.0,10,45.0,0.267,0.0,12,0,2.3219
9,2250,1.5,0,25.0,0.113,0.0,2,15,2.3219
0,3150,0.0,40,45.0,0.267,0.0,10,0,2.3219
2,1250,2.0,0,25.0,0.113,1.0,2,70,2.3219
4,4050,0.0,30,45.0,0.113,0.0,9,0,2.3219
4,1750,2.0,0,35.0,0.267,0.0,4,45,2.3219
9,3150,2.5,0,35.0,0.113,0.0,4,30,2.3219
12,4050,0.0,40,45.0,0.113,0.0,41,0,2.3219
3,3150,0.0,10,45.0,0.625,0.0,14,0,2.3219
0,3150,0.0,20,45.0,0.625,0.0,29,0,2.3219
6,1750,0.0,30,35.0,0.625,0.0,26,0,2.3219
4,1750,0.0,40,25.0,0.625,0.0006,28,0,2.3219
6,3150,2.0,0,35.0,0.267,0.0,3,15,2.3219
6,1250,1.5,0,25.0,0.113,0.0,5,45,2.3219
9,2250,2.0,0,45.0,0.267,0.0,3,70,2.3219
0,1750,2.5,0,25.0,0.113,1.0,1,15,2.3219
8,4050,0.0,30,45.0,0.113,0.0,46,0,2.3219
6,2450,1.5,0,35.0,0.625,0.0,5,30,2.3219
9,3150,1.5,0,35.0,0.267,0.0,8,30,2.3219
4,1250,2.5,0,25.0,0.113,1.0,2,70,2.3219
0,2250,0.0,40,25.0,0.113,0.0,24,0,2.3219
6,2450,1.5,0,35.0,0.625,1.0,2,15,2.3219
6,1750,0.0,0,25.0,0.625,0.0,2,0,2.3219
2,1250,2.0,0,25.0,0.267,0.0,4,15,2.3219
0,1250,1.5,0,25.0,0.113,1.0,2,15,2.3219
9,3150,0.0,10,45.0,0.625,0.0,16,0,2.3219
8,4050,2.5,0,45.0,0.113,0.0,10,70,2.3219
9,3150,0.0,30,45.0,0.267,0.0,27,0,2.3219
12,4050,0.0,40,45.0,0.267,0.0,7,0,2.3219
6,2250,0.0,30,45.0,0.625,0.0,7,0,2.3219
0,1750,0.0,40,35.0,0.113,0.0003,12,0,2.3219
0,4050,1.5,0,45.0,0.267,0.0,11,70,2.3219
6,3150,1.5,0,45.0,0.267,0.0,3,70,2.3219
9,2250,0.0,10,45.0,0.267,0.0,20,0,2.3219
0,4050,0.0,40,45.0,0.113,0.0,13,0,2.3219
4,1750,2.5,0,25.0,0.267,1.0,2,70,2.3219
8,4050,0.0,0,45.0,0.625,1.0,2,0,2.3219
6,2250,0.0,20,25.0,0.267,0.0,23,0,2.3219
0,2250,1.5,0,45.0,0.625,0.0,10,70,2.3219
0,3150,2.0,0,35.0,0.625,0.0,3,45,2.3219
4,1750,0.0,10,25.0,0.267,0.0,11,0,2.3219
3,3150,0.0,30,35.0,0.113,0.0,19,0,2.3219
0,1250,0.0,0,25.0,0.267,0.0,2,0,2.3219
3,3150,0.0,10,45.0,0.625,0.0,19,0,2.3219
3,3150,2.5,0,45.0,0.113,0.0,6,45,2.3219
2,1750,0.0,0,35.0,0.267,0.0,2,0,2.3219
0,2450,0.0,20,35.0,0.267,0.0,14,0,2.3219
3,2250,0.0,40,25.0,0.113,0.0067,10,0,2.3219
12,4050,2.5,0,45.0,0.113,0.0,5,30,2.3219
2,1750,2.5,0,25.0,0.267,0.0,2,15,2.3219
9,2250,1.5,0,45.0,0.625,0.0,4,45,2.3219
6,1250,1.5,0,25.0,0.625,1.0,1,15,2.3219
9,3150,1.5,0,45.0,0.113,0.0,13,45,2.3219
6,1250,2.0,0,25.0,0.113,0.0,4,45,2.3219
0,3150,0.0,40,45.0,0.267,0.0,42,0,2.3219
0,2450,0.0,40,35.0,0.625,0.0,26,0,2.3219
6,2450,0.0,20,35.0,0.625,0.0,23,0,2.3219
6,1750,2.0,0,25.0,0.113,1.0,2,15,2.3219
2,1750,0.0,30,25.0,0.267,0.0003,11,0,2.3219
9,2250,0.0,20,25.0,0.625,0.0,6,0,2.3219
0,4050,0.0,0,45.0,0.113,1.0,2,0,2.3219
6,1750,0.0,40,25.0,0.113,0.0,16,0,2.3219
0,2250,0.0,0,25.0,0.267,1.0,2,0,2.3219
6,3150,1.5,0,45.0,0.113,0.0,2,15,2.3219
3,2250,2.0,0,45.0,0.625,0.0,3,45,2.3219
6,1750,0.0,0,35.0,0.267,0.0,2,0,2.3219
0,2450,2.0,0,35.0,0.267,0.0,6,45,2.3219
3,2250,1.5,0,45.0,0.267,0.0,3,30,2.3219
9,3150,2.0,0,35.0,0.267,1.0,1,30,2.3219
6,3150,0.0,10,35.0,0.113,0.0,3,0,2.3219
