number_dynamic_obstacles,robot_radius,average_linear_velocity,average_obstalce_size,num_static_obstacles,corridor_width,distance_avg,distance_variance,robot_max_speed
4,0.113,0.54,0.72,0,1.5,0.0092,0.0,0.22
6,0.113,0.59,0.42,0,2.0,0.0,1.0,0.22
6,0.267,0.65,0.64,0,1.5,0.0,1.0,2.0
6,0.113,0.66,0.43,0,1.5,0.0069,0.0,0.22
6,0.113,0.43,0.47,0,1.5,0.0083,0.0,0.22
0,0.625,0.0,0.0,0,2.5,0.0,1.0,1.1
3,0.625,0.65,0.43,0,2.5,0.0063,0.0,1.1
0,0.113,0.0,0.0,0,2.0,0.0106,0.0,0.22
0,0.625,0.0,0.0,0,2.0,0.0068,0.0,1.1
12,0.625,0.54,0.52,0,1.5,0.0067,0.0,1.1
0,0.267,0.0,0.0,0,1.5,0.0088,0.0,2.0
2,0.267,0.21,0.54,0,2.5,0.0,1.0,2.0
0,0.113,0.0,0.0,0,2.5,0.014,0.0,0.22
6,0.113,0.64,0.56,0,2.0,0.0063,0.0,0.22
12,0.113,0.6,0.68,0,2.5,0.0062,0.0,0.22
6,0.113,0.38,0.43,0,1.5,0.0055,0.0,0.22
9,0.113,0.58,0.42,0,2.0,0.0013,0.0,0.22
0,0.267,0.0,0.0,0,2.0,0.0113,0.0,2.0
9,0.267,0.67,0.44,0,2.0,0.0091,0.0,2.0
4,0.267,0.22,0.61,0,1.5,0.0002,0.0,2.0
4,0.625,0.56,0.59,0,1.5,0.0102,0.0,1.1
0,0.113,0.0,0.0,0,2.0,0.0079,0.0,0.22
8,0.113,0.35,0.53,0,1.5,0.0055,0.0,0.22
0,0.113,0.0,0.0,0,2.5,0.0,1.0,0.22
0,0.267,0.0,0.0,0,2.5,0.0005,0.0,2.0
12,0.625,0.49,0.54,0,2.0,0.0,1.0,1.1
8,0.625,0.64,0.49,0,1.5,0.0061,0.0,1.1
4,0.267,0.31,0.64,0,2.5,0.0,1.0,2.0
6,0.625,0.48,0.62,0,2.5,0.0105,0.0,1.1
0,0.267,0.0,0.0,0,2.5,0.0065,0.0,2.0
2,0.267,0.22,0.83,0,2.5,0.0,1.0,2.0
4,0.625,0.6,0.47,0,2.5,0.0,1.0,1.1
12,0.625,0.52,0.53,0,2.5,0.0,1.0,1.1
3,0.625,0.79,0.46,0,1.5,0.0082,0.0,1.1
0,0.267,0.0,0.0,0,2.5,0.0099,0.0,2.0
0,0.625,0.0,0.0,0,2.0,0.007,0.0,1.1
0,0.267,0.0,0.0,0,2.5,0.0,1.0,2.0
4,0.625,0.44,0.5,0,2.0,0.0059,0.0,1.1
6,0.267,0.58,0.37,0,2.0,0.0,1.0,2.0
0,0.113,0.0,0.0,0,1.5,0.0,1.0,0.22
3,0.625,0.59,0.45,0,2.5,0.0077,0.0,1.1
4,0.625,0.54,0.71,0,1.5,0.0097,0.0,1.1
9,0.625,0.46,0.56,0,1.5,0.0096,0.0,1.1
3,0.625,0.68,0.31,0,2.5,0.0,1.0,1.1
2,0.625,0.31,0.32,0,2.0,0.0,1.0,1.1
6,0.267,0.76,0.58,0,2.0,0.0109,0.0,2.0
3,0.113,0.66,0.46,0,1.5,0.0,1.0,0.22
4,0.113,0.53,0.52,0,2.0,0.005,0.0,0.22
6,0.267,0.53,0.55,0,2.5,0.0,1.0,2.0
6,0.267,0.65,0.44,0,2.5,0.0034,0.0,2.0
0,0.625,0.0,0.0,0,2.5,0.0,1.0,1.1
6,0.267,0.66,0.57,0,1.5,0.0087,0.0,2.0
6,0.267,0.58,0.68,0,1.5,0.0105,0.0,2.0
6,0.625,0.66,0.72,0,2.0,0.0058,0.0,1.1
0,0.267,0.0,0.0,0,2.5,0.0,1.0,2.0
3,0.625,0.47,0.65,0,2.0,0.0111,0.0,1.1
12,0.113,0.53,0.52,0,1.5,0.0062,0.0,0.22
4,0.625,0.55,0.31,0,2.5,0.0077,0.0,1.1
6,0.625,0.38,0.58,0,2.0,0.0,1.0,1.1
12,0.113,0.54,0.5,0,2.0,0.0122,0.0,0.22
2,0.113,0.63,0.32,0,2.0,0.0055,0.0,0.22
6,0.113,0.49,0.54,0,1.5,0.0051,0.0,0.22
4,0.267,0.45,0.62,0,1.5,0.0055,0.0,2.0
9,0.113,0.59,0.39,0,1.5,0.0055,0.0,0.22
4,0.113,0.65,0.57,0,2.5,0.0002,0.0,0.22
4,0.267,0.76,0.62,0,2.0,0.0055,0.0,2.0
12,0.113,0.46,0.56,0,2.5,0.0,1.0,0.22
4,0.267,0.44,0.54,0,2.5,0.0001,0.0,2.0
9,0.113,0.61,0.3,0,2.5,0.0079,0.0,0.22
8,0.625,0.75,0.59,0,2.5,0.0077,0.0,1.1
9,0.625,0.45,0.43,0,1.5,0.0078,0.0,1.1
0,0.625,0.0,0.0,0,2.0,0.0115,0.0,1.1
8,0.267,0.64,0.61,0,2.5,0.0072,0.0,2.0
12,0.113,0.6,0.47,0,1.5,0.0,1.0,0.22
2,0.113,0.82,0.52,0,2.5,0.0082,0.0,0.22
8,0.267,0.66,0.58,0,2.5,0.0086,0.0,2.0
8,0.625,0.55,0.57,0,1.5,0.0095,0.0,1.1
0,0.267,0.0,0.0,0,1.5,0.0123,0.0,2.0
9,0.267,0.49,0.47,0,1.5,0.0107,0.0,2.0
9,0.113,0.47,0.5,0,2.0,0.0,1.0,0.22
3,0.113,0.58,0.52,0,2.0,0.0,1.0,0.22
12,0.113,0.52,0.5,0,2.5,0.0,1.0,0.22
2,0.113,0.78,0.43,0,1.5,0.0,1.0,0.22
0,0.113,0.0,0.0,0,2.0,0.0103,0.0,0.22
9,0.113,0.54,0.57,0,2.0,0.0069,0.0,0.22
4,0.113,0.8,0.37,0,2.5,0.0,1.0,0.22
0,0.113,0.0,0.0,0,2.5,0.0093,0.0,0.22
0,0.113,0.0,0.0,0,2.5,0.0096,0.0,0.22
0,0.113,0.0,0.0,0,2.5,0.0,1.0,0.22
6,0.113,0.63,0.62,0,2.0,0.0,1.0,0.22
9,0.113,0.59,0.48,0,2.0,0.0,1.0,0.22
0,0.113,0.0,0.0,0,2.0,0.0117,0.0,0.22
0,0.113,0.0,0.0,0,2.0,0.0096,0.0,0.22
9,0.113,0.31,0.63,0,2.0,0.008,0.0,0.22
0,0.113,0.0,0.0,0,1.5,0.0117,0.0,0.22
12,0.113,0.63,0.56,0,2.5,0.0,1.0,0.22
0,0.113,0.0,0.0,0,1.5,0.0081,0.0,0.22
2,0.113,0.44,0.47,0,1.5,0.0061,0.0,0.22
0,0.113,0.0,0.0,0,2.0,0.0,1.0,0.22
6,0.113,0.67,0.42,0,1.5,0.0083,0.0,0.22
2,0.113,0.62,0.41,0,2.0,0.0,1.0,0.22
0,0.113,0.0,0.0,0,2.0,0.0,1.0,0.22
3,0.113,0.34,0.57,0,2.5,0.0071,0.0,0.22
6,0.113,0.49,0.47,0,2.0,0.0002,0.0,0.22
6,0.113,0.64,0.42,0,1.5,0.0,1.0,0.22
9,0.113,0.53,0.57,0,2.0,0.0086,0.0,0.22
9,0.113,0.36,0.5,0,1.5,0.0128,0.0,0.22
4,0.113,0.49,0.49,0,1.5,0.0097,0.0,0.22
2,0.113,0.73,0.92,0,1.5,0.0076,0.0,0.22
0,0.113,0.0,0.0,0,2.0,0.0003,0.0,0.22
6,0.113,0.66,0.63,0,2.5,0.0103,0.0,0.22
3,0.113,0.55,0.39,0,2.5,0.0,1.0,0.22
0,0.113,0.0,0.0,0,1.5,0.0076,0.0,0.22
12,0.113,0.58,0.63,0,1.5,0.0109,0.0,0.22
0,0.113,0.0,0.0,0,1.5,0.0064,0.0,0.22
4,0.113,0.43,0.34,0,2.5,0.0,1.0,0.22
9,0.113,0.61,0.5,0,2.0,0.0093,0.0,0.22
3,0.113,0.49,0.77,0,1.5,0.0363,0.0001,0.22
3,0.113,0.64,0.42,0,2.0,0.0053,0.0,0.22
6,0.113,0.55,0.61,0,2.5,0.0,1.0,0.22
6,0.113,0.6,0.58,0,1.5,0.0066,0.0,0.22
0,0.113,0.0,0.0,0,2.5,0.0,1.0,0.22
6,0.113,0.47,0.63,0,2.5,0.0011,0.0,0.22
4,0.113,0.5,0.59,0,1.5,0.0068,0.0,0.22
4,0.113,0.6,0.34,0,1.5,0.0,1.0,0.22
4,0.113,0.74,0.69,0,1.5,0.0036,0.0,0.22
12,0.113,0.48,0.7,0,2.0,0.0115,0.0,0.22
4,0.113,0.58,0.44,0,1.5,0.0106,0.0,0.22
4,0.113,0.71,0.35,0,2.5,0.0138,0.0,0.22
0,0.113,0.0,0.0,0,2.5,0.008,0.0,0.22
4,0.113,0.7,0.44,0,2.0,0.0108,0.0,0.22
0,0.113,0.0,0.0,0,2.5,0.0,1.0,0.22
12,0.113,0.67,0.41,0,1.5,0.0114,0.0,0.22
4,0.113,0.78,0.61,0,1.5,0.0144,0.0,0.22
6,0.113,0.34,0.57,0,1.5,0.0053,0.0,0.22
6,0.113,0.64,0.65,0,1.5,0.0004,0.0,0.22
0,0.113,0.0,0.0,0,2.5,0.0059,0.0,0.22
4,0.113,0.47,0.61,0,1.5,0.0139,0.0,0.22
0,0.113,0.0,0.0,0,2.0,0.0,1.0,0.22
0,0.113,0.0,0.0,0,2.0,0.0002,0.0,0.22
4,0.113,0.61,0.83,0,2.5,0.0,1.0,0.22
6,0.113,0.67,0.6,0,2.0,0.0,1.0,0.22
2,0.113,0.67,0.76,0,1.5,0.0267,0.0001,0.22
0,0.113,0.0,0.0,0,2.5,0.0,1.0,0.22
9,0.113,0.52,0.55,0,2.5,0.0102,0.0,0.22
12,0.113,0.63,0.5,0,2.5,0.0085,0.0,0.22
0,0.113,0.0,0.0,0,2.0,0.0123,0.0,0.22
0,0.113,0.0,0.0,0,2.0,0.0064,0.0,0.22
12,0.113,0.56,0.63,0,2.5,0.0096,0.0,0.22
0,0.113,0.0,0.0,0,2.0,0.0018,0.0,0.22
6,0.113,0.57,0.46,0,2.5,0.0057,0.0,0.22
4,0.113,0.71,0.61,0,2.0,0.0,1.0,0.22
6,0.113,0.47,0.52,0,1.5,0.0074,0.0,0.22
6,0.113,0.43,0.54,0,2.5,0.0118,0.0,0.22
12,0.113,0.5,0.48,0,2.0,0.0077,0.0,0.22
8,0.113,0.66,0.58,0,1.5,0.0113,0.0,0.22
0,0.113,0.0,0.0,0,2.5,0.0049,0.0,0.22
6,0.113,0.51,0.5,0,2.5,0.0015,0.0,0.22
12,0.113,0.51,0.7,0,2.5,0.007,0.0,0.22
0,0.113,0.0,0.0,0,2.5,0.0065,0.0,0.22
4,0.113,0.51,0.5,0,2.0,0.0048,0.0,0.22
0,0.113,0.0,0.0,0,1.5,0.0076,0.0,0.22
0,0.113,0.0,0.0,0,2.5,0.0103,0.0,0.22
6,0.113,0.71,0.54,0,2.5,0.0049,0.0,0.22
6,0.113,0.65,0.55,0,2.5,0.0,1.0,0.22
4,0.113,0.74,0.64,0,1.5,0.0074,0.0,0.22
4,0.113,0.53,0.68,0,2.5,0.0113,0.0,0.22
2,0.113,0.61,0.83,0,1.5,0.0122,0.0,0.22
8,0.113,0.52,0.63,0,1.5,0.003,0.0,0.22
8,0.113,0.44,0.63,0,2.5,0.0076,0.0,0.22
2,0.113,0.2,0.42,0,2.5,0.018,0.0,0.22
4,0.113,0.66,0.43,0,2.0,0.0056,0.0,0.22
0,0.113,0.0,0.0,0,1.5,0.0087,0.0,0.22
0,0.113,0.0,0.0,0,2.0,0.0072,0.0,0.22
8,0.113,0.49,0.53,0,2.5,0.01,0.0,0.22
9,0.113,0.59,0.6,0,2.5,0.0087,0.0,0.22
6,0.113,0.38,0.47,0,1.5,0.0073,0.0,0.22
9,0.113,0.62,0.65,0,1.5,0.0,1.0,0.22
6,0.113,0.5,0.67,0,2.0,0.0,1.0,0.22
4,0.113,0.37,0.58,0,2.0,0.0,1.0,0.22
3,0.113,0.65,0.64,0,2.5,0.0079,0.0,0.22
0,0.113,0.0,0.0,0,2.0,0.0181,0.0,0.22
6,0.113,0.74,0.57,0,1.5,0.0158,0.0,0.22
0,0.113,0.0,0.0,0,2.0,0.0055,0.0,0.22
0,0.113,0.0,0.0,0,2.5,0.0,1.0,0.22
0,0.113,0.0,0.0,0,1.5,0.0076,0.0,0.22
0,0.113,0.0,0.0,0,2.0,0.0062,0.0,0.22
4,0.113,0.51,0.33,0,1.5,0.0062,0.0,0.22
6,0.113,0.39,0.53,0,2.5,0.0027,0.0,0.22
8,0.113,0.53,0.56,0,2.0,0.009,0.0,0.22
2,0.113,0.46,0.64,0,2.5,0.0,1.0,0.22
6,0.113,0.41,0.5,0,2.0,0.0,1.0,0.22
3,0.113,0.51,0.69,0,1.5,0.0054,0.0,0.22
4,0.113,0.55,0.63,0,1.5,0.0133,0.0,0.22
12,0.113,0.54,0.61,0,2.0,0.071,0.0002,0.22
3,0.113,0.51,0.85,0,1.5,0.0,1.0,0.22
12,0.113,0.55,0.53,0,2.5,0.0064,0.0,0.22
6,0.113,0.52,0.5,0,2.0,0.0118,0.0,0.22
12,0.113,0.58,0.53,0,2.5,0.0092,0.0,0.22
4,0.113,0.54,0.7,0,2.5,0.0,1.0,0.22
4,0.113,0.52,0.58,0,2.5,0.0,1.0,0.22
6,0.113,0.57,0.47,0,1.5,0.0113,0.0,0.22
6,0.113,0.41,0.57,0,2.0,0.0,1.0,0.22
0,0.113,0.0,0.0,0,2.5,0.0062,0.0,0.22
4,0.113,0.48,0.58,0,2.5,0.0087,0.0,0.22
6,0.113,0.68,0.5,0,2.0,0.0071,0.0,0.22
12,0.113,0.57,0.7,0,2.5,0.0126,0.0,0.22
12,0.113,0.51,0.55,0,2.5,0.0066,0.0,0.22
6,0.113,0.59,0.61,0,2.5,0.0001,0.0,0.22
0,0.113,0.0,0.0,0,2.5,0.0,1.0,0.22
0,0.113,0.0,0.0,0,2.5,0.0105,0.0,0.22
6,0.113,0.73,0.49,0,2.0,0.0097,0.0,0.22
3,0.113,0.48,0.65,0,2.5,0.0026,0.0,0.22
9,0.113,0.64,0.67,0,1.5,0.0066,0.0,0.22
6,0.113,0.63,0.71,0,1.5,0.007,0.0,0.22
12,0.113,0.63,0.51,0,2.0,0.0099,0.0,0.22
6,0.113,0.54,0.43,0,2.5,0.0046,0.0,0.22
0,0.113,0.0,0.0,0,2.5,0.0,1.0,0.22
0,0.113,0.0,0.0,0,2.5,0.0053,0.0,0.22
0,0.113,0.0,0.0,0,1.5,0.0051,0.0,0.22
4,0.113,0.34,0.64,0,1.5,0.0068,0.0,0.22
0,0.113,0.0,0.0,0,2.0,0.0108,0.0,0.22
0,0.113,0.0,0.0,0,2.5,0.0106,0.0,0.22
4,0.113,0.46,0.34,0,2.0,0.0,1.0,0.22
9,0.113,0.53,0.54,0,1.5,0.0101,0.0,0.22
0,0.113,0.0,0.0,0,2.5,0.0,1.0,0.22
12,0.113,0.58,0.5,0,2.0,0.0,1.0,0.22
12,0.113,0.46,0.57,0,2.5,0.0,1.0,0.22
8,0.113,0.5,0.57,0,2.5,0.0067,0.0,0.22
2,0.113,0.59,0.62,0,2.0,0.0,1.0,0.22
6,0.113,0.76,0.56,0,2.0,0.0079,0.0,0.22
0,0.113,0.0,0.0,0,2.0,0.0086,0.0,0.22
2,0.113,0.59,0.68,0,1.5,0.0286,0.0,0.22
6,0.113,0.52,0.65,0,2.0,0.0085,0.0,0.22
3,0.113,0.58,0.45,0,2.0,0.0059,0.0,0.22
4,0.113,0.6,0.45,0,2.5,0.0,1.0,0.22
0,0.113,0.0,0.0,0,2.0,0.0082,0.0,0.22
4,0.113,0.51,0.37,0,2.0,0.0089,0.0,0.22
0,0.113,0.0,0.0,0,2.0,0.0,1.0,0.22
4,0.113,0.67,0.6,0,2.0,0.0098,0.0,0.22
6,0.113,0.54,0.56,0,1.5,0.0,1.0,0.22
6,0.113,0.63,0.53,0,1.5,0.0064,0.0,0.22
4,0.113,0.62,0.64,0,2.5,0.0073,0.0,0.22
6,0.113,0.34,0.54,0,1.5,0.0001,0.0,0.22
0,0.113,0.0,0.0,0,2.0,0.0092,0.0,0.22
2,0.113,0.92,0.65,0,2.5,0.0,1.0,0.22
0,0.113,0.0,0.0,0,1.5,0.0109,0.0,0.22
0,0.113,0.0,0.0,0,1.5,0.0,1.0,0.22
9,0.113,0.53,0.67,0,1.5,0.0,1.0,0.22
4,0.113,0.57,0.8,0,1.5,0.025,0.0,0.22
9,0.113,0.61,0.39,0,2.5,0.0106,0.0,0.22
2,0.113,0.72,0.24,0,2.0,0.0,1.0,0.22
4,0.113,0.65,0.42,0,1.5,0.0074,0.0,0.22
2,0.113,0.66,0.52,0,2.0,0.005,0.0,0.22
6,0.113,0.57,0.61,0,2.0,0.0077,0.0,0.22
12,0.113,0.55,0.64,0,2.5,0.0075,0.0,0.22
9,0.113,0.49,0.51,0,1.5,0.0076,0.0,0.22
4,0.113,0.62,0.52,0,2.0,0.0106,0.0,0.22
4,0.113,0.46,0.38,0,2.5,0.0069,0.0,0.22
12,0.113,0.65,0.5,0,2.0,0.0122,0.0,0.22
0,0.113,0.0,0.0,0,1.5,0.0081,0.0,0.22
0,0.113,0.0,0.0,0,2.5,0.0088,0.0,0.22
4,0.113,0.58,0.67,0,2.0,0.0,1.0,0.22
2,0.113,0.7,0.63,0,2.0,0.0085,0.0,0.22
4,0.113,0.68,0.2,0,1.5,0.0091,0.0,0.22
9,0.113,0.51,0.62,0,2.0,0.0124,0.0,0.22
9,0.113,0.58,0.72,0,2.0,0.0076,0.0,0.22
4,0.113,0.5,0.46,0,2.5,0.0,1.0,0.22
0,0.113,0.0,0.0,0,2.0,0.0155,0.0,0.22
4,0.113,0.4,0.71,0,2.0,0.0004,0.0,0.22
6,0.113,0.64,0.54,0,1.5,0.0074,0.0,0.22
4,0.113,0.4,0.54,0,1.5,0.0064,0.0,0.22
6,0.113,0.43,0.52,0,2.0,0.0019,0.0,0.22
0,0.113,0.0,0.0,0,2.5,0.0,1.0,0.22
0,0.113,0.0,0.0,0,1.5,0.0068,0.0,0.22
9,0.113,0.62,0.37,0,2.5,0.0044,0.0,0.22
6,0.113,0.55,0.51,0,2.0,0.0075,0.0,0.22
0,0.113,0.0,0.0,0,2.0,0.0,1.0,0.22
8,0.113,0.58,0.56,0,2.5,0.0053,0.0,0.22
3,0.113,0.51,0.36,0,2.5,0.0,1.0,0.22
0,0.113,0.0,0.0,0,2.5,0.0039,0.0,0.22
9,0.113,0.58,0.56,0,1.5,0.0066,0.0,0.22
8,0.113,0.49,0.46,0,1.5,0.0096,0.0,0.22
4,0.113,0.41,0.52,0,1.5,0.0094,0.0,0.22
8,0.113,0.5,0.46,0,2.5,0.0095,0.0,0.22
0,0.113,0.0,0.0,0,1.5,0.0058,0.0,0.22
0,0.113,0.0,0.0,0,2.5,0.0052,0.0,0.22
12,0.113,0.6,0.57,0,2.0,0.0027,0.0,0.22
8,0.113,0.49,0.56,0,2.0,0.0002,0.0,0.22
0,0.113,0.0,0.0,0,2.0,0.0097,0.0,0.22
4,0.113,0.61,0.43,0,2.5,0.0,1.0,0.22
4,0.113,0.37,0.49,0,1.5,0.0083,0.0,0.22
8,0.113,0.58,0.38,0,2.5,0.0,1.0,0.22
9,0.113,0.62,0.54,0,2.0,0.0102,0.0,0.22
6,0.113,0.68,0.68,0,1.5,0.0039,0.0,0.22
6,0.113,0.46,0.38,0,2.0,0.0,1.0,0.22
3,0.113,0.54,0.46,0,2.0,0.0,1.0,0.22
6,0.113,0.44,0.71,0,2.5,0.0,1.0,0.22
12,0.113,0.54,0.58,0,2.0,0.0144,0.0,0.22
8,0.113,0.3,0.46,0,2.5,0.0,1.0,0.22
6,0.113,0.58,0.7,0,2.0,0.0047,0.0,0.22
4,0.113,0.49,0.77,0,1.5,0.005,0.0,0.22
0,0.113,0.0,0.0,0,2.0,0.0132,0.0,0.22
6,0.113,0.52,0.43,0,2.5,0.0073,0.0,0.22
4,0.113,0.45,0.63,0,2.5,0.0185,0.0,0.22
