width,height,number_dynamic_obstacles,average_obstalce_size,map_size,average_linear_velocity
45.0,45.0,12,0.52,4050,0.53
45.0,45.0,12,0.54,4050,0.49
35.0,35.0,3,0.51,2450,0.58
25.0,25.0,6,0.67,1250,0.59
45.0,45.0,4,0.55,4050,0.54
35.0,35.0,3,0.89,2450,0.63
45.0,45.0,12,0.43,4050,0.63
25.0,25.0,4,0.42,1250,0.64
25.0,25.0,0,0.0,1250,0.0
35.0,35.0,9,0.53,2450,0.59
25.0,25.0,2,0.35,1250,0.34
35.0,35.0,0,0.0,2450,0.0
45.0,45.0,4,0.64,4050,0.7
25.0,25.0,6,0.53,1250,0.58
45.0,45.0,8,0.7,4050,0.6
25.0,25.0,4,0.54,1250,0.64
35.0,35.0,6,0.55,2450,0.51
35.0,35.0,6,0.59,2450,0.52
35.0,35.0,3,0.55,2450,0.65
35.0,35.0,3,0.75,2450,0.3
35.0,35.0,0,0.0,2450,0.0
45.0,45.0,8,0.68,4050,0.65
35.0,35.0,6,0.42,2450,0.55
45.0,45.0,12,0.54,4050,0.52
35.0,35.0,6,0.6,2450,0.59
25.0,25.0,4,0.48,1250,0.43
45.0,45.0,4,0.52,4050,0.41
45.0,45.0,4,0.59,4050,0.46
35.0,35.0,6,0.58,2450,0.48
35.0,35.0,6,0.61,2450,0.51
35.0,35.0,0,0.0,2450,0.0
45.0,45.0,0,0.0,4050,0.0
45.0,45.0,8,0.81,4050,0.62
25.0,25.0,6,0.48,1250,0.64
25.0,25.0,6,0.56,1250,0.5
45.0,45.0,12,0.57,4050,0.49
35.0,35.0,0,0.0,2450,0.0
35.0,35.0,6,0.67,2450,0.52
25.0,25.0,6,0.6,1250,0.6
35.0,35.0,0,0.0,2450,0.0
45.0,45.0,12,0.59,4050,0.58
35.0,35.0,9,0.58,2450,0.54
25.0,25.0,2,0.38,1250,0.39
45.0,45.0,8,0.42,4050,0.59
25.0,25.0,0,0.0,1250,0.0
35.0,35.0,6,0.52,2450,0.61
25.0,25.0,6,0.52,1250,0.59
45.0,45.0,12,0.62,4050,0.56
25.0,25.0,2,0.68,1250,0.45
25.0,25.0,0,0.0,1250,0.0
35.0,35.0,3,0.54,2450,0.67
25.0,25.0,0,0.0,1250,0.0
25.0,25.0,0,0.0,1250,0.0
45.0,45.0,8,0.53,4050,0.52
25.0,25.0,2,0.81,1250,0.61
45.0,45.0,8,0.64,4050,0.63
45.0,45.0,8,0.68,4050,0.6
25.0,25.0,4,0.57,1250,0.44
45.0,45.0,8,0.56,4050,0.57
35.0,35.0,9,0.64,2450,0.58
45.0,45.0,0,0.0,4050,0.0
45.0,45.0,4,0.84,4050,0.55
35.0,35.0,9,0.54,2450,0.6
45.0,45.0,8,0.55,4050,0.56
45.0,45.0,0,0.0,4050,0.0
45.0,45.0,4,0.53,4050,0.62
45.0,45.0,4,0.73,4050,0.71
35.0,35.0,6,0.48,2450,0.55
45.0,45.0,0,0.0,4050,0.0
35.0,35.0,3,0.73,2450,0.34
45.0,45.0,0,0.0,4050,0.0
45.0,45.0,12,0.49,4050,0.51
35.0,35.0,6,0.45,2450,0.67
35.0,35.0,3,0.73,2450,0.63
25.0,25.0,6,0.4,1250,0.62
45.0,45.0,4,0.42,4050,0.63
45.0,45.0,8,0.62,4050,0.39
35.0,35.0,6,0.48,2450,0.49
45.0,45.0,8,0.56,4050,0.62
35.0,35.0,3,0.54,2450,0.44
35.0,35.0,3,0.57,2450,0.22
35.0,35.0,6,0.44,2450,0.58
35.0,35.0,6,0.55,2450,0.55
25.0,25.0,0,0.0,1250,0.0
45.0,45.0,12,0.55,4050,0.6
45.0,45.0,4,0.37,4050,0.59
25.0,25.0,4,0.48,1250,0.91
45.0,45.0,12,0.57,4050,0.51
45.0,45.0,12,0.64,4050,0.45
35.0,35.0,0,0.0,2450,0.0
45.0,45.0,4,0.56,4050,0.66
25.0,25.0,0,0.0,1250,0.0
25.0,25.0,2,0.32,1250,0.25
45.0,45.0,8,0.66,4050,0.58
35.0,35.0,0,0.0,2450,0.0
35.0,35.0,3,0.68,2450,0.76
25.0,25.0,2,0.44,1250,0.35
35.0,35.0,0,0.0,2450,0.0
35.0,35.0,3,0.43,2450,0.54
35.0,35.0,6,0.67,2450,0.58
35.0,35.0,6,0.63,2450,0.33
45.0,45.0,12,0.51,4050,0.62
25.0,25.0,4,0.53,1250,0.78
25.0,25.0,0,0.0,1250,0.0
35.0,35.0,6,0.6,2450,0.5
45.0,45.0,8,0.61,4050,0.69
45.0,45.0,12,0.5,4050,0.58
45.0,45.0,12,0.54,4050,0.56
35.0,35.0,6,0.54,2450,0.58
25.0,25.0,2,0.77,1250,0.71
35.0,35.0,3,0.48,2450,0.34
25.0,25.0,0,0.0,1250,0.0
45.0,45.0,0,0.0,4050,0.0
35.0,35.0,3,0.57,2450,0.48
35.0,35.0,6,0.39,2450,0.51
25.0,25.0,4,0.69,1250,0.59
25.0,25.0,6,0.65,1250,0.52
25.0,25.0,4,0.64,1250,0.57
35.0,35.0,9,0.54,2450,0.56
45.0,45.0,0,0.0,4050,0.0
35.0,35.0,3,0.31,2450,0.6
45.0,45.0,4,0.64,4050,0.66
45.0,45.0,4,0.57,4050,0.6
35.0,35.0,9,0.55,2450,0.74
45.0,45.0,4,0.66,4050,0.43
35.0,35.0,0,0.0,2450,0.0
35.0,35.0,6,0.45,2450,0.7
45.0,45.0,12,0.62,4050,0.47
25.0,25.0,2,0.39,1250,0.63
35.0,35.0,3,0.49,2450,0.62
45.0,45.0,4,0.46,4050,0.74
25.0,25.0,6,0.5,1250,0.66
35.0,35.0,6,0.5,2450,0.67
45.0,45.0,0,0.0,4050,0.0
45.0,45.0,12,0.57,4050,0.51
25.0,25.0,2,0.83,1250,0.27
35.0,35.0,9,0.74,2450,0.5
45.0,45.0,8,0.51,4050,0.79
45.0,45.0,4,0.55,4050,0.37
45.0,45.0,0,0.0,4050,0.0
45.0,45.0,8,0.58,4050,0.4
35.0,35.0,6,0.7,2450,0.48
45.0,45.0,0,0.0,4050,0.0
45.0,45.0,4,0.58,4050,0.72
25.0,25.0,2,0.43,1250,0.42
35.0,35.0,9,0.55,2450,0.4
25.0,25.0,6,0.55,1250,0.69
45.0,45.0,12,0.66,4050,0.6
35.0,35.0,9,0.6,2450,0.57
35.0,35.0,9,0.61,2450,0.52
35.0,35.0,3,0.62,2450,0.65
35.0,35.0,6,0.65,2450,0.59
45.0,45.0,8,0.43,4050,0.48
25.0,25.0,2,0.26,1250,0.54
35.0,35.0,9,0.44,2450,0.51
25.0,25.0,4,0.4,1250,0.26
35.0,35.0,3,0.64,2450,0.66
35.0,35.0,3,0.55,2450,0.73
35.0,35.0,6,0.82,2450,0.56
45.0,45.0,0,0.0,4050,0.0
35.0,35.0,6,0.52,2450,0.7
25.0,25.0,2,0.63,1250,0.47
25.0,25.0,4,0.74,1250,0.27
45.0,45.0,0,0.0,4050,0.0
25.0,25.0,2,0.49,1250,0.55
25.0,25.0,4,0.5,1250,0.47
35.0,35.0,9,0.58,2450,0.46
25.0,25.0,6,0.63,1250,0.54
25.0,25.0,2,0.94,1250,0.91
25.0,25.0,6,0.49,1250,0.57
35.0,35.0,9,0.44,2450,0.6
45.0,45.0,4,0.49,4050,0.6
35.0,35.0,6,0.68,2450,0.48
45.0,45.0,8,0.39,4050,0.46
45.0,45.0,0,0.0,4050,0.0
45.0,45.0,0,0.0,4050,0.0
35.0,35.0,0,0.0,2450,0.0
25.0,25.0,4,0.59,1250,0.91
45.0,45.0,12,0.49,4050,0.52
25.0,25.0,0,0.0,1250,0.0
35.0,35.0,9,0.51,2450,0.44
45.0,45.0,4,0.65,4050,0.58
25.0,25.0,4,0.54,1250,0.47
45.0,45.0,8,0.56,4050,0.7
35.0,35.0,0,0.0,2450,0.0
25.0,25.0,2,0.23,1250,0.63
35.0,35.0,9,0.52,2450,0.48
35.0,35.0,3,0.54,2450,0.45
45.0,45.0,4,0.54,4050,0.61
45.0,45.0,8,0.57,4050,0.57
45.0,45.0,0,0.0,4050,0.0
45.0,45.0,12,0.59,4050,0.66
25.0,25.0,2,0.51,1250,0.64
35.0,35.0,0,0.0,2450,0.0
45.0,45.0,12,0.57,4050,0.59
35.0,35.0,9,0.5,2450,0.57
45.0,45.0,8,0.35,4050,0.61
45.0,45.0,0,0.0,4050,0.0
45.0,45.0,8,0.49,4050,0.52
35.0,35.0,0,0.0,2450,0.0
25.0,25.0,0,0.0,1250,0.0
35.0,35.0,0,0.0,2450,0.0
25.0,25.0,6,0.46,1250,0.57
25.0,25.0,6,0.55,1250,0.52
35.0,35.0,6,0.61,2450,0.66
25.0,25.0,2,0.26,1250,0.68
45.0,45.0,0,0.0,4050,0.0
45.0,45.0,4,0.41,4050,0.65
45.0,45.0,0,0.0,4050,0.0
35.0,35.0,0,0.0,2450,0.0
25.0,25.0,0,0.0,1250,0.0
45.0,45.0,12,0.57,4050,0.51
45.0,45.0,4,0.59,4050,0.35
25.0,25.0,0,0.0,1250,0.0
45.0,45.0,12,0.39,4050,0.55
45.0,45.0,4,0.57,4050,0.58
25.0,25.0,4,0.4,1250,0.43
25.0,25.0,0,0.0,1250,0.0
25.0,25.0,6,0.51,1250,0.63
25.0,25.0,6,0.68,1250,0.51
25.0,25.0,4,0.38,1250,0.51
45.0,45.0,8,0.71,4050,0.55
25.0,25.0,0,0.0,1250,0.0
25.0,25.0,4,0.55,1250,0.58
25.0,25.0,2,0.2,1250,0.47
45.0,45.0,12,0.56,4050,0.51
25.0,25.0,6,0.55,1250,0.62
35.0,35.0,0,0.0,2450,0.0
45.0,45.0,12,0.59,4050,0.5
45.0,45.0,4,0.27,4050,0.57
45.0,45.0,8,0.47,4050,0.56
25.0,25.0,6,0.48,1250,0.75
45.0,45.0,0,0.0,4050,0.0
35.0,35.0,0,0.0,2450,0.0
25.0,25.0,0,0.0,1250,0.0
35.0,35.0,3,0.48,2450,0.54
45.0,45.0,8,0.66,4050,0.61
25.0,25.0,6,0.5,1250,0.51
45.0,45.0,12,0.5,4050,0.62
35.0,35.0,0,0.0,2450,0.0
35.0,35.0,0,0.0,2450,0.0
35.0,35.0,0,0.0,2450,0.0
45.0,45.0,0,0.0,4050,0.0
35.0,35.0,9,0.48,2450,0.47
45.0,45.0,0,0.0,4050,0.0
45.0,45.0,8,0.44,4050,0.46
25.0,25.0,4,0.79,1250,0.22
35.0,35.0,6,0.6,2450,0.45
25.0,25.0,4,0.56,1250,0.71
25.0,25.0,6,0.7,1250,0.4
35.0,35.0,3,0.56,2450,0.82
45.0,45.0,0,0.0,4050,0.0
45.0,45.0,8,0.53,4050,0.61
35.0,35.0,3,0.34,2450,0.69
25.0,25.0,6,0.7,1250,0.55
25.0,25.0,6,0.51,1250,0.64
35.0,35.0,3,0.66,2450,0.42
25.0,25.0,0,0.0,1250,0.0
45.0,45.0,4,0.88,4050,0.68
45.0,45.0,12,0.58,4050,0.61
35.0,35.0,0,0.0,2450,0.0
25.0,25.0,4,0.41,1250,0.47
35.0,35.0,0,0.0,2450,0.0
45.0,45.0,4,0.56,4050,0.52
35.0,35.0,3,0.73,2450,0.71
35.0,35.0,3,0.59,2450,0.59
25.0,25.0,6,0.5,1250,0.36
35.0,35.0,0,0.0,2450,0.0
45.0,45.0,0,0.0,4050,0.0
35.0,35.0,3,0.55,2450,0.29
25.0,25.0,0,0.0,1250,0.0
45.0,45.0,8,0.62,4050,0.39
35.0,35.0,3,0.63,2450,0.36
35.0,35.0,6,0.44,2450,0.58
35.0,35.0,0,0.0,2450,0.0
35.0,35.0,6,0.79,2450,0.7
25.0,25.0,2,0.62,1250,0.76
35.0,35.0,3,0.44,2450,0.38
45.0,45.0,8,0.41,4050,0.47
35.0,35.0,6,0.53,2450,0.51
35.0,35.0,0,0.0,2450,0.0
45.0,45.0,8,0.56,4050,0.55
25.0,25.0,2,0.5,1250,0.65
45.0,45.0,8,0.51,4050,0.66
45.0,45.0,4,0.47,4050,0.46
25.0,25.0,0,0.0,1250,0.0
45.0,45.0,0,0.0,4050,0.0
45.0,45.0,4,0.45,4050,0.61
35.0,35.0,6,0.47,2450,0.4
45.0,45.0,0,0.0,4050,0.0
35.0,35.0,6,0.38,2450,0.47
25.0,25.0,4,0.59,1250,0.5
35.0,35.0,9,0.48,2450,0.39
45.0,45.0,12,0.51,4050,0.51
35.0,35.0,3,0.55,2450,0.57
35.0,35.0,3,0.75,2450,0.43
25.0,25.0,4,0.6,1250,0.34
45.0,45.0,8,0.42,4050,0.62
35.0,35.0,3,0.57,2450,0.49
25.0,25.0,4,0.37,1250,0.46
45.0,45.0,8,0.62,4050,0.51
35.0,35.0,3,0.3,2450,0.73
35.0,35.0,6,0.55,2450,0.41
35.0,35.0,3,0.59,2450,0.69
45.0,45.0,8,0.69,4050,0.58
35.0,35.0,9,0.54,2450,0.57
25.0,25.0,0,0.0,1250,0.0
45.0,45.0,8,0.55,4050,0.73
25.0,25.0,4,0.71,1250,0.39
45.0,45.0,4,0.4,4050,0.46
45.0,45.0,8,0.63,4050,0.48
35.0,35.0,6,0.49,2450,0.59
25.0,25.0,4,0.62,1250,0.72
25.0,25.0,2,0.69,1250,0.52
45.0,45.0,12,0.67,4050,0.42
25.0,25.0,2,0.88,1250,0.52
35.0,35.0,3,0.55,2450,0.57
35.0,35.0,0,0.0,2450,0.0
25.0,25.0,2,0.58,1250,0.46
25.0,25.0,4,0.51,1250,0.7
25.0,25.0,4,0.67,1250,0.62
45.0,45.0,8,0.46,4050,0.56
45.0,45.0,12,0.46,4050,0.4
25.0,25.0,6,0.45,1250,0.69
25.0,25.0,4,0.39,1250,0.23
25.0,25.0,0,0.0,1250,0.0
45.0,45.0,8,0.43,4050,0.66
35.0,35.0,0,0.0,2450,0.0
45.0,45.0,4,0.63,4050,0.57
35.0,35.0,9,0.64,2450,0.64
45.0,45.0,0,0.0,4050,0.0
25.0,25.0,4,0.75,1250,0.66
45.0,45.0,12,0.51,4050,0.71
25.0,25.0,6,0.61,1250,0.63
35.0,35.0,3,0.56,2450,0.54
25.0,25.0,4,0.56,1250,0.46
45.0,45.0,12,0.51,4050,0.48
45.0,45.0,0,0.0,4050,0.0
35.0,35.0,0,0.0,2450,0.0
35.0,35.0,0,0.0,2450,0.0
35.0,35.0,3,0.51,2450,0.69
45.0,45.0,0,0.0,4050,0.0
25.0,25.0,6,0.5,1250,0.41
35.0,35.0,9,0.49,2450,0.56
35.0,35.0,6,0.56,2450,0.73
35.0,35.0,6,0.51,2450,0.32
45.0,45.0,12,0.53,4050,0.58
45.0,45.0,12,0.44,4050,0.66
35.0,35.0,9,0.56,2450,0.46
35.0,35.0,6,0.52,2450,0.44
25.0,25.0,4,0.45,1250,0.61
45.0,45.0,4,0.6,4050,0.35
25.0,25.0,0,0.0,1250,0.0
45.0,45.0,8,0.61,4050,0.39
45.0,45.0,4,0.38,4050,0.55
25.0,25.0,4,0.4,1250,0.54
35.0,35.0,3,0.61,2450,0.28
35.0,35.0,0,0.0,2450,0.0
35.0,35.0,6,0.65,2450,0.63
45.0,45.0,8,0.4,4050,0.54
25.0,25.0,0,0.0,1250,0.0
25.0,25.0,0,0.0,1250,0.0
45.0,45.0,12,0.52,4050,0.57
45.0,45.0,4,0.57,4050,0.47
45.0,45.0,8,0.37,4050,0.46
35.0,35.0,3,0.4,2450,0.78
45.0,45.0,4,0.58,4050,0.66
35.0,35.0,9,0.45,2450,0.6
35.0,35.0,6,0.37,2450,0.58
45.0,45.0,0,0.0,4050,0.0
35.0,35.0,9,0.47,2450,0.48
35.0,35.0,3,0.69,2450,0.9
35.0,35.0,6,0.57,2450,0.42
35.0,35.0,0,0.0,2450,0.0
35.0,35.0,6,0.56,2450,0.58
35.0,35.0,0,0.0,2450,0.0
45.0,45.0,0,0.0,4050,0.0
35.0,35.0,9,0.53,2450,0.57
45.0,45.0,0,0.0,4050,0.0
25.0,25.0,0,0.0,1250,0.0
25.0,25.0,6,0.42,1250,0.54
35.0,35.0,6,0.72,2450,0.53
25.0,25.0,6,0.78,1250,0.63
25.0,25.0,0,0.0,1250,0.0
45.0,45.0,12,0.73,4050,0.56
25.0,25.0,4,0.56,1250,0.74
45.0,45.0,4,0.64,4050,0.65
